Vertical_Depth,Flow_Rate,Well_Pressure,Rock_Strength,Sand_Production
2623.6203565420874,962.8323220965491,3046.822734943624,57.08920959462286,10.815432310971659
4352.142919229749,1854.7523684458954,2987.915196287999,65.76769780339606,13.973488925116254
3695.9818254342154,2682.3645896910207,5625.018322084146,27.53275291547493,33.5388505633319
3295.97545259111,2330.5622160239027,2998.1847993980246,53.74118697248992,17.459696149417592
1968.0559213273095,2516.4028696536243,3087.798904514524,50.022218820062406,18.52532393121375
1967.983561008608,2146.9584167767935,5037.593049671855,68.29812637517898,17.763379521752054
1674.2508365045983,2230.691411294631,3798.95936980216,73.42609423368825,15.750130343728014
4098.528437324805,2622.9891289132984,5106.842227820725,10.850974003417077,59.30247666288763
3303.3450352296263,1124.1700221479648,2261.464630257541,57.18139433411549,9.380784175253957
3624.2177333881364,1723.5624091078512,3950.284774693537,13.628505938381032,37.68229612936007
1561.7534828874072,1053.0236045490055,2134.4544007331306,48.42010655541492,9.625004666793656
4409.729556485983,2969.1700199916177,2250.612813821418,30.134291033057472,22.106477101558276
3997.3279224012654,2860.148349216533,5625.749813377644,31.474361966549885,31.701939743310756
2137.0173320348285,598.5670284212647,2556.9814844703806,34.70709524166496,10.664274536435208
2045.4749016213018,2263.937931289221,4129.6827291008685,53.490471433472706,18.381531870921318
2050.2135295603016,2813.1207935391644,3644.3824104028263,33.38349759681385,25.370336281745754
2412.7267288786134,951.4383628183339,3389.373305035371,61.28893354131963,9.78623876532062
3074.2692948967133,1919.8630763815736,5599.33338274909,38.31691699017088,23.83631255863214
2795.835055926347,2788.7207439701046,2087.293587101958,14.784724021697103,27.328118121242667
2373.687420594126,584.864946464497,4655.158744702356,64.8631889738875,9.850512150403603
3335.5586841671384,2243.5506681171,5853.577736854202,30.00308272148942,31.215330570914272
1918.4815819561254,1243.3725184313769,4240.672733847368,40.29368157194838,16.99908783041489
2376.4339456056546,2810.990488441326,5747.289848132367,57.98107182553311,24.45651880173443
2599.085529881075,2927.6456129134194,2209.0315171440952,33.271931000409836,21.53862398964664
2868.209952651108,2860.666222783585,3675.173276296646,13.960995930270094,40.07607429316949
3855.527884179041,1685.5355416436594,3040.631163848205,36.174473290896955,16.66774387331857
2099.021346475079,2655.1066274732834,4923.283859922919,76.11140078860124,19.353957090851058
3042.703315240835,2611.373496337676,5925.188361988987,54.921407810899076,24.510640877823015
3277.2437065861277,1297.7511831081392,3026.120249776991,57.00354040670449,11.199014753493426
1639.3512381599933,2572.288685376693,4616.698405896298,54.25975075463479,21.81680611782334
3322.634555704315,592.5190867887316,2792.3905310389605,23.929449727160574,15.07833582000637
2011.5723710618745,1990.6746962051327,4261.3210182864395,39.28337048715961,21.715829711635532
1695.1547789558385,1075.0220932192576,3855.729946753345,62.56578588543228,11.332948405519213
4346.65661176,801.417214443197,5888.021318526148,17.09610282872114,38.803969564100946
4396.896099223678,692.3830040730229,4434.109090785866,29.449694326279857,19.659294808631838
3925.192044349383,2240.7219396953496,3398.0254883472753,29.342337592609752,22.47541183397198
2413.841307520112,1349.6874094201653,2456.3831395517336,40.241324931615424,12.085047798066077
1793.0163420191516,2311.9169288219036,2604.987314939738,78.62581186595295,13.932724831151637
3552.699079536471,663.3908519973559,2901.2677198049405,14.725178267867536,23.37607832942922
2820.457481218804,1288.2258445765258,3003.8666453611922,46.30906960664165,11.986116407572647
1866.1147045343364,1848.7282309383431,5402.464231364551,22.555527740854732,33.00932302796571
2985.5307303338104,2476.807912097409,4244.8911531301,77.9473581786821,18.048539672396657
1603.1655633456553,1296.8812573301748,4093.5636454974656,17.931245330922494,29.40621517133767
4227.961206236347,2064.7284410925226,2459.07548747687,38.25207016531139,16.964972231469616
2276.339944800051,2714.9443705904678,5440.55877339774,61.651948938422436,22.510500660361966
3487.566853061946,2039.6579704557614,4891.257212833934,59.31880996192117,19.08343304202076
2435.133228268233,1082.3986868840843,2270.6734476000065,39.59100458257526,10.671161921261364
3060.2040635334324,561.001953891345,4831.340388919074,34.25669175669027,16.569860016863963
3140.1308380298387,2675.2471847523248,4174.152869370584,37.83286649870094,24.023045520648598
2054.563366576581,553.1735271259679,2326.901382987113,28.49933842110475,11.345719328537456
4408.753883293675,2686.7541817104984,3833.202566114626,24.373305709475986,29.611022625615803
3825.3984700833435,1822.34283506803,3938.785148520188,43.8127788291223,18.32736411129762
4318.496824692567,2847.6692462822402,2663.098160653103,28.79736292473251,24.0778084463431
4184.4820512829465,2496.9580894341634,5782.79258800113,30.122316542807507,31.093472088563978
